group,ablation_name,features,n_features,accuracy,precision,recall,f1,roc_auc,avg_precision,det_best_threshold,det_best_fpr,det_best_fnr,det_fpr_plus_fnr
Hybrid,avg_logprob + lm_avg_neg_logprob + unique_token_ratio,avg_logprob|lm_avg_neg_logprob|unique_token_ratio,3,0.805,0.7631578947368421,0.4915254237288136,0.5979381443298969,0.7574227671595143,0.6898091499740487,0.2907970590600146,0.16312056737588654,0.3050847457627119,0.4682053131385984
Hybrid,avg_logprob + lm_perplexity,avg_logprob|lm_perplexity,2,0.795,0.875,0.3559322033898305,0.5060240963855421,0.7472051929318428,0.7011211516407432,0.3634073510601762,0.09929078014184398,0.3728813559322034,0.4721721360740474
Hybrid,avg_logprob + lm_perplexity + repetition_ratio,avg_logprob|lm_perplexity|repetition_ratio,3,0.795,0.875,0.3559322033898305,0.5060240963855421,0.7472051929318428,0.7011211516407432,0.36340791682837004,0.09929078014184398,0.3728813559322034,0.4721721360740474
Hybrid,avg_logprob + lm_perplexity + lm_surprisal_std,avg_logprob|lm_perplexity|lm_surprisal_std,3,0.78,0.7777777777777778,0.3559322033898305,0.4883720930232558,0.7373482389710302,0.6882518410148061,0.3831412001056209,0.09929078014184398,0.3728813559322034,0.4721721360740474
Hybrid,avg_logprob + lm_avg_neg_logprob + lm_perplexity,avg_logprob|lm_avg_neg_logprob|lm_perplexity,3,0.795,0.75,0.4576271186440678,0.5684210526315789,0.7545378050246423,0.6915505391046756,0.3083429402784768,0.16312056737588654,0.3220338983050847,0.48515446568097126
Hybrid,avg_logprob + lm_avg_neg_logprob,avg_logprob|lm_avg_neg_logprob,2,0.795,0.75,0.4576271186440678,0.5684210526315789,0.7544175982690227,0.6911244358677995,0.30835264451790956,0.16312056737588654,0.3220338983050847,0.48515446568097126
Hybrid,avg_logprob + lm_avg_neg_logprob + repetition_ratio,avg_logprob|lm_avg_neg_logprob|repetition_ratio,3,0.795,0.75,0.4576271186440678,0.5684210526315789,0.7544175982690227,0.6911244358677995,0.3083526441901396,0.16312056737588654,0.3220338983050847,0.48515446568097126
Hybrid,no_speech_prob + lm_avg_neg_logprob + lm_perplexity,no_speech_prob|lm_avg_neg_logprob|lm_perplexity,3,0.745,0.6428571428571429,0.3050847457627119,0.41379310344827586,0.7603077292943863,0.5980267744453118,0.2845234516699453,0.11347517730496454,0.3728813559322034,0.48635653323716793
ASR_only,no_speech_prob + compression_ratio,no_speech_prob|compression_ratio,2,0.75,0.68,0.288135593220339,0.40476190476190477,0.8198100733261209,0.6287903636071165,0.2151160548652072,0.3191489361702128,0.1694915254237288,0.4886404615939416
Hybrid,no_speech_prob + compression_ratio + repetition_ratio,no_speech_prob|compression_ratio|repetition_ratio,3,0.75,0.68,0.288135593220339,0.40476190476190477,0.8198100733261209,0.6287903636071165,0.21511605717334834,0.3191489361702128,0.1694915254237288,0.4886404615939416
Hybrid,wer + no_speech_prob + lm_avg_neg_logprob,wer|no_speech_prob|lm_avg_neg_logprob,3,0.76,0.7037037037037037,0.3220338983050847,0.4418604651162791,0.7779781223704773,0.6336086481594714,0.2941222572197791,0.1347517730496454,0.3559322033898305,0.4906839764394759
Hybrid,wer + avg_logprob + lm_avg_neg_logprob,wer|avg_logprob|lm_avg_neg_logprob,3,0.8,0.7714285714285715,0.4576271186440678,0.574468085106383,0.7583844212044717,0.6976055314766746,0.3639846898718184,0.1347517730496454,0.3559322033898305,0.4906839764394759
Hybrid,avg_logprob + lm_surprisal_std,avg_logprob|lm_surprisal_std,2,0.78,0.8,0.3389830508474576,0.47619047619047616,0.7322995552350042,0.6639404680826537,0.36308010802429536,0.1347517730496454,0.3559322033898305,0.4906839764394759
Hybrid,avg_logprob + lm_surprisal_std + repetition_ratio,avg_logprob|lm_surprisal_std|repetition_ratio,3,0.78,0.8,0.3389830508474576,0.47619047619047616,0.7322995552350042,0.6639404680826537,0.36308007980628176,0.1347517730496454,0.3559322033898305,0.4906839764394759
Hybrid,no_speech_prob + compression_ratio + lm_avg_neg_logprob,no_speech_prob|compression_ratio|lm_avg_neg_logprob,3,0.745,0.6538461538461539,0.288135593220339,0.4,0.8061065031854789,0.6246498592509555,0.23925950385708702,0.2198581560283688,0.2711864406779661,0.49104459670633493
Hybrid,no_speech_prob + lm_avg_neg_logprob + lm_surprisal_std,no_speech_prob|lm_avg_neg_logprob|lm_surprisal_std,3,0.745,0.6428571428571429,0.3050847457627119,0.41379310344827586,0.7744921264575069,0.60455785834873,0.28165386054813785,0.12056737588652482,0.3728813559322034,0.4934487318187282
Hybrid,no_speech_prob + lm_avg_neg_logprob,no_speech_prob|lm_avg_neg_logprob,2,0.745,0.6428571428571429,0.3050847457627119,0.41379310344827586,0.7743719197018872,0.6039367950361999,0.2844968516146798,0.12056737588652482,0.3728813559322034,0.4934487318187282
Hybrid,no_speech_prob + lm_avg_neg_logprob + repetition_ratio,no_speech_prob|lm_avg_neg_logprob|repetition_ratio,3,0.745,0.6428571428571429,0.3050847457627119,0.41379310344827586,0.7743719197018872,0.6039367950361999,0.28449683745567667,0.12056737588652482,0.3728813559322034,0.4934487318187282
Hybrid,avg_logprob + lm_avg_neg_logprob + lm_surprisal_std,avg_logprob|lm_avg_neg_logprob|lm_surprisal_std,3,0.795,0.75,0.4576271186440678,0.5684210526315789,0.7594662820050487,0.6892437356755803,0.2867198874242899,0.19148936170212766,0.3050847457627119,0.49657410746483954
Hybrid,no_speech_prob + compression_ratio + lm_surprisal_std,no_speech_prob|compression_ratio|lm_surprisal_std,3,0.75,0.68,0.288135593220339,0.40476190476190477,0.8135593220338982,0.6333388596923832,0.21613877594556954,0.3120567375886525,0.1864406779661017,0.4984974155547542
Hybrid,wer + avg_logprob + lm_perplexity,wer|avg_logprob|lm_perplexity,3,0.785,0.7666666666666667,0.3898305084745763,0.5168539325842697,0.7366269984373122,0.6832534366833098,0.3150005692432638,0.1773049645390071,0.3220338983050847,0.4993388628440918
Hybrid,no_speech_prob + compression_ratio + lm_perplexity,no_speech_prob|compression_ratio|lm_perplexity,3,0.75,0.68,0.288135593220339,0.40476190476190477,0.803942781584325,0.61915554112657,0.21577045921935528,0.3191489361702128,0.1864406779661017,0.5055896141363145
ASR_only,avg_logprob,avg_logprob,1,0.775,0.7916666666666666,0.3220338983050847,0.4578313253012048,0.7333814160355812,0.6699689667957774,0.3537206889964007,0.14184397163120568,0.3728813559322034,0.514725327563409
Hybrid,avg_logprob + repetition_ratio,avg_logprob|repetition_ratio,2,0.775,0.7916666666666666,0.3220338983050847,0.4578313253012048,0.7333814160355812,0.6699689667957774,0.3537206270611551,0.14184397163120568,0.3728813559322034,0.514725327563409
